codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7
18,2,2011-05-13,93.94,93.94,78.38,0.0,0.0,0.0,0.0
120,2,2011-05-13,100.0,100.0,100.0,42.17,7.28,0.0,0.0
18,2,2011-05-20,100.0,100.0,93.94,0.0,0.0,0.0,0.0
120,2,2011-05-20,99.99000000000001,99.99000000000001,99.99000000000001,91.52000000000001,50.64,0.0,0.0
18,2,2011-05-27,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,2,2011-05-27,99.99000000000001,99.99000000000001,99.99000000000001,91.52000000000001,50.64,0.0,0.0
18,2,2011-06-03,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,2,2011-06-03,100.0,100.0,100.0,100.0,50.64,0.0,0.0
18,2,2011-06-10,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,2,2011-06-10,100.00999999999999,100.00999999999999,100.00999999999999,100.00999999999999,50.65,7.28,0.0
18,2,2011-06-17,100.0,100.0,100.0,23.84,0.0,0.0,0.0
120,2,2011-06-17,100.0,100.0,100.0,100.0,100.0,7.28,0.0
18,2,2011-06-24,100.0,100.0,100.0,23.84,0.0,0.0,0.0
120,2,2011-06-24,100.0,100.0,100.0,100.0,100.0,7.28,0.0
18,2,2011-07-01,100.01,100.01,100.01,78.39,23.84,0.0,0.0
120,2,2011-07-01,100.0,100.0,100.0,100.0,100.0,14.75,0.0
18,2,2011-07-08,100.01,100.01,100.01,78.39,23.84,0.0,0.0
120,2,2011-07-08,100.0,100.0,100.0,100.0,100.0,21.93,0.0
18,2,2011-07-15,100.01,100.01,100.01,78.39,23.84,0.0,0.0
18,2,2011-07-22,100.01,100.01,100.01,100.01,78.39,23.84,0.0
18,2,2011-07-29,100.0,100.0,100.0,100.0,100.0,23.84,0.0
18,2,2011-08-05,100.0,100.0,100.0,100.0,100.0,78.38,0.0
18,2,2011-08-12,100.0,100.0,100.0,100.0,100.0,100.0,12.12
18,4,2012-04-20,82.47,9.62,0.0,0.0,0.0,0.0,0.0
120,4,2012-04-20,100.0,100.0,100.0,13.42,0.0,0.0,0.0
18,4,2012-04-27,100.0,100.0,82.47,0.0,0.0,0.0,0.0
120,4,2012-04-27,100.0,100.0,100.0,37.28,0.0,0.0,0.0
18,4,2012-05-04,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,4,2012-05-04,100.0,100.0,100.0,47.22,13.42,0.0,0.0
18,4,2012-05-11,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,4,2012-05-11,100.0,100.0,100.0,100.0,47.22,0.0,0.0
18,4,2012-05-18,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,4,2012-05-18,100.0,100.0,100.0,100.0,60.24,0.0,0.0
18,4,2012-05-25,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,4,2012-05-25,100.0,100.0,100.0,100.0,80.12,0.0,0.0
18,4,2012-06-01,100.0,100.0,100.0,0.0,0.0,0.0,0.0
120,4,2012-06-01,100.0,100.0,100.0,100.0,90.06,0.0,0.0
